Topic,token0,token1,token2,token3,token4,token5,token6,token7,token8,token9,doc0,doc1,doc2,doc3,doc4
0,income,taxpayer,assessable,profit,deduction,business,tax,taxable,dividend,pound,http://classic.austlii.edu.au/au/cases/cth/HCA/1919/16.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1966/86.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1918/16.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1962/43.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1919/50.html
1,jury,trial,accuse,verdict,criminal,complainant,murder,applicant,witness,charge,http://classic.austlii.edu.au/au/cases/cth/HCA/1910/68.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1915/55.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1916/82.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1918/50.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1918/68.html
2,industrial,dispute,employee,employer,union,arbitration,conciliation,organization,commission,industry,http://classic.austlii.edu.au/au/cases/cth/HCA/1917/17.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1994/34.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1993/17.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1980/47.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2017/55.html
3,land,value,owner,crown,council,title,property,acquisition,area,acquire,http://classic.austlii.edu.au/au/cases/cth/HCA/1978/40.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1944/30.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1928/25.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1984/14.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1996/20.html
4,jurisdiction,constitution,federal,parliament,territory,judicial,states,constitutional,judiciary,legislative,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/1.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1908/3.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1913/7.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1917/12.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1927/25.html
5,estate,testator,trust,trustee,gift,death,property,deceased,share,executor,http://classic.austlii.edu.au/au/cases/cth/HCA/1919/39.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1920/59.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1936/54.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1922/19.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1916/23.html
6,compensation,worker,injury,employer,employment,incapacity,workers,disease,work,weekly,http://classic.austlii.edu.au/au/cases/cth/HCA/1948/43.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2000/45.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1960/80.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1948/8.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1982/62.html
7,award,arbitration,wage,conciliation,arbitrator,rate,damage,clause,dispute,variation,http://classic.austlii.edu.au/au/cases/cth/HCA/1966/58.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1985/4.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1968/3.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1954/38.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1935/24.html
8,company,share,shareholder,profit,dividend,capital,director,asset,business,value,http://classic.austlii.edu.au/au/cases/cth/HCA/1916/74.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1920/56.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1922/39.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1951/41.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1939/2.html
9,offence,sentence,criminal,sentencing,imprisonment,parole,conviction,offender,convict,charge,http://classic.austlii.edu.au/au/cases/cth/HCA/1989/33.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1993/52.html,http://classic.austlii.edu.au/au/cases/cth/HCA/1997/26.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2005/30.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2013/31.html
10,tribunal,applicant,minister,visa,immigration,migration,refugee,review,convention,persecution,http://classic.austlii.edu.au/au/cases/cth/HCA/1918/22.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2009/37.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2014/25.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2007/41.html,http://classic.austlii.edu.au/au/cases/cth/HCA/2006/53.html
