,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,url
1903_1,0.0,0.0,0.0,0.0,0.09777620854772358,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/1.html
1903_2,0.001134052419087825,0.0,0.0019154666465244009,0.007101932052433071,0.045932268690278596,0.0,0.012781763251877099,0.011721313019982601,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/2.html
1903_3,0.006587683995523801,0.0,0.0,0.0,0.05052340609283362,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/3.html
1904_1,0.0177516380409261,0.0,0.0,0.0,0.0965926975842674,0.0005639309890194372,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/1.html
1904_2,0.0,0.0008211782060672823,0.0,0.0,0.027693801689233674,0.0,0.0,0.0,0.0,0.0012560234595335516,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/2.html
1904_3,0.0,0.003748743732657719,0.0,0.0,0.028256204720931617,0.0,0.0,0.0021528765576981045,0.0004507859744326152,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/3.html
1904_4,0.0,0.0,0.0,0.0,0.010336919051849447,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/4.html
1904_5,0.0,0.00033148767268846883,0.0,0.0003154732274425243,0.009653961927176808,0.0,0.0,0.00022763792723869307,0.009059920372191227,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/5.html
1904_6,0.0,0.0,0.0022605140001762053,0.0,0.016836324592893855,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/6.html
1904_7,0.00016726983275297926,0.02563757964299585,0.0,0.0015295617994937553,0.0055755952271469,0.0,0.01025607747104187,0.007221328977714627,0.0007387893526686301,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/7.html
1904_8,0.0013223843605419373,0.00019824336212650152,0.00114026336346259,0.0873219941989317,0.0019468245983451167,0.0006952140476147374,0.0,0.0,0.020181467563368218,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/8.html
1904_9,0.0,0.0,0.1349003805521219,0.0,0.014128248677672973,0.0,0.0,0.017373501503803325,0.0,0.0002906528320358864,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/9.html
1904_10,0.0,0.02115401018169984,0.0,0.03795989251009216,0.01736000284861622,0.007855954390905204,0.0,0.006749719600481923,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/10.html
1904_11,0.0,0.0,0.0,0.0,0.05163195385949203,0.0015484960765819846,0.0,0.0017895696721798701,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/11.html
1904_12,0.0,0.0,0.0,0.06378580669855265,0.0015007332910922306,0.012535859633897578,0.026769227099248127,0.00998654089308227,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/12.html
1904_13,0.0009579743503834939,0.0007632839205600248,0.0006661441652406186,0.0001349252331731395,0.020402776748897185,0.0,0.00020750196266713388,0.004128910019040492,0.0011372279596896385,0.0029732417033505863,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/13.html
1904_14,0.0,0.0,0.0,0.015083586559500914,0.002862021483764434,0.05086710291350007,0.0,0.0017362315162745073,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/14.html
1904_15,0.0,0.0038189487343717925,0.0,0.0,0.005709290368201971,0.005195969110273443,0.0001302183838320677,0.0,0.0,0.0583845234624925,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/15.html
1904_17,0.0,0.0,0.0,0.0021045972796366937,0.05202584508399031,0.0,0.00213069629804865,0.036666127403254825,0.0,0.004412045941295393,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/17.html
1904_18,0.00013059392229036723,0.024043478350029675,0.0,0.0,0.010034220996092748,0.0030528058749386064,0.0,3.4695222822668464e-05,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/18.html
1904_19,0.0011410912655673406,0.0,0.0,0.0,0.010551653168895971,0.0016168428252640004,0.0,0.00947929098193513,0.0003584347778221736,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/19.html
1904_20,0.00020822727145482543,0.0,0.0,0.0006665389912525693,0.007263946748796263,0.0,0.0,0.0032349448404201155,0.0,0.000861716957377494,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/20.html
1904_21,0.024079457633505316,0.0,0.0,0.0033078783689107754,0.04315538890979042,0.0,0.0,0.000539879315218259,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/21.html
1904_22,0.0,0.005214243763793593,0.0,0.0,0.020002428726330936,0.0,0.0,0.0031528724700181656,0.0,0.012986411520199683,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/22.html
1904_23,0.0,0.0004630700151714006,0.0,0.002498056478799236,0.011706071778088474,0.005878509896150011,0.0,0.00043741536785718555,0.09067762577929164,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/23.html
1904_24,3.242805567788417e-05,0.0009057509114176333,0.0001427653986806866,0.0005865562648890691,0.010259358653168866,0.0,0.0,0.005974016524738206,0.0010685711427647713,0.006752179383333821,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/24.html
1904_25,0.0,0.005104547266638143,0.0,0.0,0.02383581531923578,0.0,0.0,0.001844691686908969,0.0,0.007375545837536932,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/25.html
1904_26,0.0,0.001532574565057563,0.003596040981433877,0.00161776853969453,0.030325641399129584,0.0,0.0,0.01872883181582606,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/26.html
1904_27,0.003519016557862881,0.004831424541207709,0.04189091720751691,0.0,0.0,0.004116071207890455,0.006263671127662862,0.005381443219321857,0.0020109144073632047,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/27.html
1904_28,0.0,0.0,0.0,0.04249915225476743,0.026253126017601176,0.0,0.010754336742371305,0.0,0.0030763557604157983,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/28.html
1904_29,0.0,0.01685747034217801,2.1757249736763904e-05,0.039599497408951544,0.019932682647873037,0.0,0.0,0.03780017488687283,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/29.html
1904_30,0.0,0.05330942110062088,0.0,0.0,0.0,0.0,0.02992342347796661,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/30.html
1904_31,0.0,0.021777513010448425,0.0,0.0,0.0028185136431062912,0.003988846493696699,0.008295891602717797,0.023481247686553894,0.00220663031508489,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/31.html
1904_32,0.0,0.003210156951545822,0.0,0.00016344988064308092,0.01366570018746926,0.0,0.005271457191809367,0.00034992530713658576,0.00023834281057781188,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/32.html
1904_33,0.0,0.0,0.0,0.10786963040792327,0.01423753593221149,0.0,0.0019791899860406295,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/33.html
1904_34,0.0005564773145897923,0.0,0.0,0.0,0.03998249226708916,0.0,0.00477511268238345,0.00044684242217172404,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/34.html
