,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,url
1903_1,0.0,0.0,0.0,0.0,0.11619470320124141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012136003816171607,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/1.html
1903_2,0.0001988046257856742,0.0,0.0,0.005503102971927472,0.05779177155785732,0.00036601038331845565,0.015417424262695599,0.0,0.0,0.0,0.0,0.011120595965668272,0.0,0.0,0.003200018900339347,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/2.html
1903_3,0.0058695490526214115,0.0,0.0,0.0,0.05705287982043245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006914558698902062,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/3.html
1904_1,0.01598628471519493,0.0,0.0,0.0,0.11619771940557835,0.0020818309326362658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/1.html
1904_2,0.0,0.0010261031768667114,0.0,0.0,0.030207441286590597,0.0,0.0,0.0,0.0,0.0011106412956144761,0.0,0.0,0.0,0.006422928840659088,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/2.html
1904_3,0.0,0.004170100789754273,0.0,0.0,0.02951607323097448,0.0,0.0,0.0,0.00010372908747346335,0.0,0.0,0.002120445562589684,0.0007991893967359829,0.006473217006989511,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/3.html
1904_4,0.0,0.0,0.0,0.0,0.01210187656879903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001303700028955972,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/4.html
1904_5,0.0,0.0004661973757901059,0.00024707699196331194,0.0,0.0057213861610811954,0.0,0.0,0.0,0.0088962909076454,0.0,0.003688519965196784,0.00018317889469071248,0.0,0.007040209717789348,0.0015245072910264686,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/5.html
1904_6,0.0,0.0,0.002148919669313957,0.0,0.01870557025065506,0.0,0.0,0.0,0.0,0.0,4.156065122352654e-05,0.0,0.00017525553948990853,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/6.html
1904_7,0.0002195331936857519,0.018058052711092575,0.0006436241789626823,0.0,0.0024166272457870216,0.0,0.0,0.03164081128144504,0.0003055532843356759,0.0,0.0,0.004171421615946538,0.0003140418717600533,0.005891845487558941,0.004802555898808608,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/7.html
