,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,url
1903_1,0.0,0.0,0.0,0.0,0.14530410571547572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/1.html
1903_2,0.0011746947127405647,0.0,0.0,0.004040329576787814,0.002238366833660748,0.0,0.0014737572966840222,0.004176290394952567,0.0,0.0,0.0,0.001655910894124258,0.0,0.10920469337699143,0.0007112192209859067,0.0,0.0,0.0,0.0,0.003975145810624631,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/2.html
1903_3,0.0006516035571697523,0.0,0.0,7.371207917499207e-06,0.052808310656648046,0.0,0.0,0.0,0.0,6.720327266855634e-05,0.0,0.0,0.0,0.013565283542179667,0.0,0.0,0.00810130127677434,0.0,0.010360474305211566,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1903/3.html
1904_1,0.0,0.0,0.0,0.0,0.10901034360922718,0.00303395651329159,0.0,0.0,0.0,0.0,0.0,0.005229816959259838,0.0,0.02709439729735017,0.0,0.0,0.0,0.0,0.02945885166617904,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/1.html
1904_2,0.0,0.001822920844231047,0.0,0.0,0.03202619459933167,0.0,0.0,0.0,0.00018562880291459263,0.0017992469899166174,0.0,0.0,0.0,0.0008234900415809693,0.0,0.0003761384239201379,0.007942812211746931,0.0,0.0,0.0001806990546175125,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/2.html
1904_3,0.0,0.004589322980912271,0.0,0.0,0.021007676991103483,0.0,0.0,0.0,0.0006377846868022527,0.0,0.0,0.0,0.0010541035795366977,0.016117247824831094,0.0,0.0,0.006318925218843946,0.0,0.0,0.002246069398887241,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/3.html
1904_4,0.0,0.0,0.0,0.0,0.011720826359933208,0.0,0.0,0.0,0.0004221709793412784,0.0,0.0,3.791857323897631e-05,4.4122472274467826e-05,0.0010539916451068236,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/4.html
1904_5,0.0,0.0006924771276643923,4.988815082257053e-05,0.0,0.0016012125256992993,0.0,0.0,0.0,0.008935719734890733,4.035836859073791e-05,0.00403983828171566,0.0,0.0,0.00491198325439918,0.0014716624533886713,0.0,0.007189389079642653,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/5.html
1904_6,0.0,0.0,0.0022693941773916614,0.0,0.024703618104537566,0.0,0.0,0.0,0.0,0.0,0.0,0.0003893082613429215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/6.html
1904_7,0.0009774308727612353,0.01813612198145804,0.0017319851035299406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012023051456479421,0.0004560383082591898,0.007067906155966903,0.0042733451269500785,0.031539101423553206,0.0048400549106272115,0.0,0.0,0.0029385878385124785,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/7.html
